log,time
[c45] PUT,8
[c26] PUT,10
[c23] PUT,9
[c27] PUT,10
[c3] PUT,11
[c78] PUT,6
[c97] PUT,5
[c41] PUT,10
[c29] PUT,11
[c57] PUT,9
[c13] PUT,13
[c92] PUT,7
[c99] PUT,6
[c77] PUT,9
[c89] PUT,8
[c62] PUT,10
[c9] PUT,15
[c73] PUT,10
[c58] PUT,12
[c59] PUT,12
[c12] PUT,15
[c82] PUT,10
[c83] PUT,10
[c54] PUT,13
[c100] PUT,10
[c8] PUT,17
[c32] PUT,16
[c53] PUT,14
[c56] PUT,14
[c68] PUT,13
[c71] PUT,13
[c52] PUT,15
[c88] PUT,12
[c31] PUT,18
[c87] PUT,13
[c44] PUT,17
[c63] PUT,15
[c24] PUT,19
[c19] PUT,19
[c1] PUT,20
[c67] PUT,16
[c6] PUT,21
[c47] PUT,19
[c76] PUT,16
[c84] PUT,15
[c50] PUT,19
[c79] PUT,17
[c75] PUT,17
[c55] PUT,19
[c60] PUT,18
[c20] PUT,22
[c72] PUT,18
[c36] PUT,21
[c18] PUT,23
[c98] PUT,17
[c43] PUT,22
[c38] PUT,23
[c70] PUT,21
[c42] PUT,23
[c61] PUT,21
[c35] PUT,24
[c5] PUT,26
[c94] PUT,19
[c28] PUT,26
[c40] PUT,25
[c30] PUT,26
[c65] PUT,24
[c69] PUT,24
[c85] PUT,23
[c49] PUT,27
[c96] PUT,23
[c74] PUT,25
[c91] PUT,24
[c14] PUT,31
[c37] PUT,29
[c25] PUT,31
[c80] PUT,26
[c16] PUT,33
[c34] PUT,32
[c11] PUT,33
[c7] PUT,34
[c66] PUT,30
[c22] PUT,35
[c90] PUT,30
[c46] PUT,34
[c4] PUT,36
[c81] PUT,32
[c17] PUT,37
[c2] PUT,38
[c86] PUT,34
[c15] PUT,43
[c33] PUT,42
[c51] PUT,44
[c95] PUT,42
[c21] PUT,50
[c93] PUT,45
