log,time
[c23] PUT,25
[c92] PUT,26
[c45] PUT,34
[c3] PUT,42
[c18] PUT,43
[c52] PUT,43
[c71] PUT,42
[c73] PUT,48
[c58] PUT,52
[c12] PUT,56
[c55] PUT,55
[c31] PUT,64
[c54] PUT,68
[c47] PUT,68
[c19] PUT,71
[c57] PUT,70
[c26] PUT,73
[c93] PUT,68
[c99] PUT,68
[c79] PUT,77
[c70] PUT,78
[c36] PUT,85
[c30] PUT,85
[c59] PUT,84
[c96] PUT,82
[c20] PUT,90
[c77] PUT,87
[c32] PUT,93
[c28] PUT,93
[c38] PUT,93
[c74] PUT,90
[c82] PUT,90
[c72] PUT,93
[c78] PUT,93
[c41] PUT,96
[c1] PUT,99
[c22] PUT,105
[c42] PUT,107
[c11] PUT,117
[c50] PUT,119
[c35] PUT,123
[c2] PUT,127
[c94] PUT,122
[c44] PUT,128
[c53] PUT,130
[c14] PUT,132
[c81] PUT,128
[c40] PUT,135
[c7] PUT,136
[c84] PUT,137
[c25] PUT,148
[c68] PUT,144
[c98] PUT,142
[c89] PUT,144
[c80] PUT,146
[c8] PUT,152
[c5] PUT,152
[c62] PUT,150
[c97] PUT,149
[c16] PUT,160
[c75] PUT,160
[c43] PUT,163
[c100] PUT,159
[c34] PUT,170
[c67] PUT,167
[c46] PUT,171
[c33] PUT,173
[c63] PUT,176
[c61] PUT,177
[c6] PUT,188
[c17] PUT,189
[c49] PUT,189
[c15] PUT,193
[c90] PUT,188
[c88] PUT,191
[c24] PUT,202
[c51] PUT,200
[c27] PUT,202
[c66] PUT,206
[c83] PUT,207
[c29] PUT,225
[c86] PUT,225
[c87] PUT,230
[c85] PUT,231
[c60] PUT,235
[c13] PUT,263
[c56] PUT,260
[c21] PUT,277
[c4] PUT,277
[c37] PUT,285
[c91] PUT,293
[c9] PUT,303
[c95] PUT,329
[c69] PUT,348
[c76] PUT,456
[c65] PUT,476
