log,time
[c27] PUT,17
[c89] PUT,15
[c23] PUT,24
[c99] PUT,16
[c54] PUT,39
[c70] PUT,49
[c6] PUT,55
[c82] PUT,50
[c3] PUT,58
[c91] PUT,55
[c12] PUT,64
[c67] PUT,62
[c13] PUT,67
[c18] PUT,69
[c78] PUT,64
[c62] PUT,66
[c40] PUT,72
[c32] PUT,79
[c53] PUT,78
[c46] PUT,81
[c79] PUT,81
[c81] PUT,82
[c20] PUT,88
[c15] PUT,89
[c59] PUT,86
[c77] PUT,86
[c83] PUT,92
[c41] PUT,99
[c26] PUT,101
[c43] PUT,100
[c96] PUT,95
[c74] PUT,99
[c66] PUT,105
[c31] PUT,112
[c22] PUT,113
[c28] PUT,118
[c16] PUT,118
[c5] PUT,122
[c97] PUT,115
[c50] PUT,122
[c93] PUT,120
[c61] PUT,123
[c24] PUT,127
[c86] PUT,127
[c39] PUT,132
[c95] PUT,127
[c92] PUT,128
[c56] PUT,132
[c29] PUT,136
[c11] PUT,137
[c17] PUT,141
[c2] PUT,141
[c84] PUT,143
[c57] PUT,146
[c37] PUT,150
[c8] PUT,154
[c38] PUT,157
[c88] PUT,151
[c80] PUT,154
[c42] PUT,158
[c34] PUT,160
[c69] PUT,157
[c35] PUT,168
[c71] PUT,165
[c100] PUT,161
[c58] PUT,167
[c47] PUT,170
[c19] PUT,175
[c65] PUT,173
[c52] PUT,177
[c45] PUT,179
[c87] PUT,176
[c7] PUT,186
[c30] PUT,187
[c10] PUT,189
[c85] PUT,189
[c68] PUT,190
[c21] PUT,200
[c44] PUT,201
[c1] PUT,213
[c98] PUT,206
[c72] PUT,211
[c51] PUT,215
[c49] PUT,217
[c90] PUT,214
[c60] PUT,220
[c33] PUT,224
[c36] PUT,235
[c63] PUT,242
[c25] PUT,260
[c9] PUT,264
[c94] PUT,272
[c4] PUT,284
[c75] PUT,295
[c55] PUT,310
[c14] PUT,333
[c76] PUT,331
[c73] PUT,355
