log,time
[c26] PUT,40
[c58] PUT,44
[c6] PUT,47
[c22] PUT,64
[c10] PUT,77
[c83] PUT,72
[c37] PUT,77
[c29] PUT,78
[c92] PUT,74
[c97] PUT,78
[c3] PUT,84
[c36] PUT,86
[c82] PUT,82
[c30] PUT,97
[c94] PUT,93
[c93] PUT,94
[c60] PUT,96
[c69] PUT,96
[c24] PUT,102
[c96] PUT,98
[c23] PUT,106
[c59] PUT,103
[c18] PUT,107
[c41] PUT,106
[c54] PUT,106
[c55] PUT,110
[c72] PUT,109
[c11] PUT,118
[c78] PUT,116
[c45] PUT,123
[c71] PUT,129
[c12] PUT,133
[c89] PUT,132
[c17] PUT,138
[c33] PUT,140
[c57] PUT,138
[c44] PUT,140
[c53] PUT,141
[c91] PUT,147
[c52] PUT,151
[c38] PUT,155
[c27] PUT,158
[c90] PUT,153
[c46] PUT,156
[c84] PUT,157
[c99] PUT,157
[c4] PUT,164
[c13] PUT,166
[c47] PUT,166
[c62] PUT,168
[c73] PUT,169
[c50] PUT,177
[c14] PUT,187
[c1] PUT,187
[c34] PUT,200
[c16] PUT,203
[c81] PUT,198
[c32] PUT,205
[c75] PUT,205
[c74] PUT,207
[c63] PUT,211
[c86] PUT,210
[c42] PUT,215
[c43] PUT,219
[c9] PUT,222
[c85] PUT,219
[c40] PUT,226
[c51] PUT,226
[c77] PUT,232
[c2] PUT,249
[c31] PUT,263
[c66] PUT,286
[c61] PUT,291
[c7] PUT,301
[c76] PUT,306
[c5] PUT,316
[c80] PUT,315
[c28] PUT,324
[c100] PUT,322
[c68] PUT,335
[c98] PUT,339
[c65] PUT,344
[c25] PUT,354
[c21] PUT,356
[c70] PUT,362
[c49] PUT,378
[c87] PUT,393
[c67] PUT,399
[c15] PUT,407
[c56] PUT,417
[c95] PUT,450
[c88] PUT,474
[c35] PUT,482
[c19] PUT,484
[c8] PUT,486
[c20] PUT,491
[c79] PUT,533

