log,time
[c62] PUT,19
[c3] PUT,21
[c78] PUT,22
[c96] PUT,24
[c71] PUT,28
[c58] PUT,30
[c6] PUT,33
[c23] PUT,35
[c99] PUT,34
[c18] PUT,39
[c54] PUT,39
[c27] PUT,41
[c92] PUT,39
[c9] PUT,42
[c94] PUT,42
[c52] PUT,45
[c97] PUT,43
[c82] PUT,45
[c81] PUT,45
[c14] PUT,48
[c45] PUT,48
[c36] PUT,49
[c24] PUT,51
[c13] PUT,55
[c73] PUT,53
[c83] PUT,56
[c57] PUT,57
[c26] PUT,60
[c2] PUT,62
[c12] PUT,62
[c10] PUT,62
[c30] PUT,63
[c53] PUT,63
[c75] PUT,62
[c29] PUT,66
[c41] PUT,66
[c43] PUT,67
[c89] PUT,67
[c37] PUT,74
[c85] PUT,73
[c59] PUT,74
[c63] PUT,76
[c56] PUT,84
[c72] PUT,85
[c84] PUT,87
[c47] PUT,92
[c50] PUT,95
[c32] PUT,96
[c69] PUT,94
[c60] PUT,96
[c4] PUT,99
[c33] PUT,99
[c55] PUT,98
[c38] PUT,104
[c93] PUT,102
[c44] PUT,106
[c91] PUT,103
[c28] PUT,107
[c90] PUT,104
[c42] PUT,109
[c22] PUT,110
[c7] PUT,117
[c66] PUT,117
[c15] PUT,119
[c5] PUT,124
[c67] PUT,123
[c98] PUT,121
[c35] PUT,125
[c65] PUT,126
[c87] PUT,127
[c70] PUT,135
[c46] PUT,140
[c76] PUT,143
[c17] PUT,151
[c49] PUT,151
[c11] PUT,154
[c1] PUT,156
[c86] PUT,153
[c100] PUT,156
[c20] PUT,160
[c16] PUT,162
[c21] PUT,175
[c40] PUT,182
[c31] PUT,183
[c77] PUT,186
[c61] PUT,207
[c88] PUT,213
[c74] PUT,225
[c25] PUT,228
[c80] PUT,236
[c64] PUT,257
[c8] PUT,260
[c51] PUT,260
[c68] PUT,267
[c34] PUT,285
[c79] PUT,286
[c19] PUT,299
[c95] PUT,313
