log,time
[c72] PUT,4
[c3] PUT,9
[c97] PUT,4
[c18] PUT,10
[c6] PUT,10
[c54] PUT,8
[c12] PUT,11
[c96] PUT,5
[c78] PUT,6
[c59] PUT,8
[c92] PUT,7
[c22] PUT,13
[c82] PUT,9
[c39] PUT,13
[c93] PUT,8
[c57] PUT,11
[c4] PUT,15
[c89] PUT,10
[c99] PUT,9
[c83] PUT,11
[c23] PUT,16
[c74] PUT,13
[c75] PUT,13
[c26] PUT,18
[c44] PUT,17
[c41] PUT,17
[c48] PUT,16
[c27] PUT,18
[c16] PUT,18
[c29] PUT,18
[c32] PUT,19
[c46] PUT,17
[c61] PUT,16
[c31] PUT,19
[c63] PUT,15
[c71] PUT,15
[c2] PUT,19
[c100] PUT,13
[c86] PUT,15
[c19] PUT,20
[c81] PUT,15
[c37] PUT,19
[c24] PUT,20
[c5] PUT,20
[c62] PUT,17
[c66] PUT,17
[c90] PUT,16
[c60] PUT,18
[c35] PUT,20
[c25] PUT,22
[c80] PUT,17
[c51] PUT,20
[c42] PUT,22
[c69] PUT,19
[c49] PUT,21
[c70] PUT,20
[c36] PUT,23
[c9] PUT,24
[c20] PUT,24
[c14] PUT,24
[c84] PUT,19
[c91] PUT,20
[c53] PUT,23
[c94] PUT,19
[c65] PUT,22
[c11] PUT,26
[c55] PUT,23
[c52] PUT,25
[c85] PUT,23
[c34] PUT,27
[c50] PUT,27
[c43] PUT,28
[c40] PUT,28
[c38] PUT,28
[c15] PUT,29
[c58] PUT,26
[c79] PUT,24
[c77] PUT,25
[c28] PUT,30
[c88] PUT,25
[c95] PUT,24
[c64] PUT,27
[c76] PUT,26
[c17] PUT,31
[c45] PUT,31
[c13] PUT,33
[c67] PUT,30
[c8] PUT,34
[c73] PUT,30
[c98] PUT,29
[c1] PUT,36
[c87] PUT,33
[c30] PUT,38
[c33] PUT,42
[c68] PUT,39
[c56] PUT,45
[c21] PUT,50
[c7] PUT,51
[c47] PUT,55
