"c97,8,67,78,176,231"
"c59,15,16,103,205,264"
"c73,14,89,169,251,480"
"c23,19,81,106,186,151"
"c41,21,31,106,434,486"
"c89,17,43,132,411,384"
"c99,21,30,157,354,107"
"c45,26,71,123,164,68"
"c52,25,40,151,271,404"
"c62,25,118,168,218,798"
"c12,28,121,133,363,863"
"c6,29,40,47,294,299"
"c27,30,65,158,284,216"
"c13,30,75,166,57,302"
"c31,31,49,263,198,162"
"c90,26,129,153,397,190"
"c30,33,107,97,234,315"
"c29,34,35,78,208,413"
"c96,31,35,98,119,170"
"c54,35,32,106,129,133"
"c83,33,30,72,80,300"
"c24,38,37,102,79,134"
"c78,36,45,116,103,260"
"c3,41,34,84,135,114"
"c57,40,24,138,227,192"
"c60,41,74,96,108,471"
"c26,44,32,40,115,354"
"c71,40,21,129,547,413"
"c53,45,150,141,381,387"
"c43,46,108,219,297,450"
"c22,49,139,64,462,344"
"c25,50,111,354,689,1313"
"c33,50,52,140,491,349"
"c93,46,76,94,422,402"
"c18,51,36,107,108,221"
"c56,51,86,417,670,895"
"c4,54,106,164,456,513"
"c38,53,71,155,123,616"
"c95,52,46,450,559,959"
"c44,57,107,140,393,378"
"c50,57,141,177,901,711"
"c32,59,107,205,489,641"
"c55,58,99,110,157,396"
"c37,60,149,77,265,593"
"c58,61,37,44,103,491"
"c72,60,77,109,245,184"
"c40,64,176,226,165,1137"
"c9,65,65,222,227,405"
"c68,64,102,335,495,1421"
"c20,68,51,491,91,1082"
"c94,63,75,93,265,407"
"c92,64,35,74,505,640"
"c63,67,138,211,360,679"
"c84,66,54,157,188,261"
"c69,68,98,96,280,692"
"c80,68,115,315,601,411"
"c28,74,152,324,501,640"
"c36,74,52,86,325,388"
"c15,76,159,407,350,864"
"c14,77,74,187,198,144"
"c77,73,62,232,1048,1223"
"c81,73,82,198,1017,542"
"c91,75,35,147,185,728"
"c2,80,85,249,521,1013"
"c61,78,68,291,231,592"
"c7,81,189,301,762,1334"
"c35,82,52,482,237,798"
"c82,82,46,82,210,972"
"c21,87,45,356,754,772"
"c85,82,88,219,691,922"
"c70,84,221,362,734,1129"
"c87,83,168,393,841,1318"
"c49,86,216,378,865,1484"
"c100,83,60,322,146,1092"
"c42,90,198,215,427,1032"
"c17,92,176,138,695,1203"
"c1,93,245,187,872,1184"
"c11,94,61,118,119,473"
"c65,92,62,344,351,525"
"c47,94,70,166,491,559"
"c74,93,79,207,806,1210"
"c98,95,170,339,626,895"
"c5,101,110,316,512,1096"
"c19,102,159,484,1022,1134"
"c51,105,86,226,435,1261"
"c34,111,121,200,792,947"
"c79,110,160,533,1041,803"
"c76,111,208,306,729,1312"
"c16,116,180,203,714,953"
"c86,113,166,210,750,739"
"c66,116,136,286,809,421"
"c46,121,128,156,908,660"
"c67,119,210,399,524,995"
"c8,124,153,486,756,1243"
"c75,127,146,205,781,1024"
"c88,127,138,474,876,721"
