log,time
[c71] PUT,3
[c59] PUT,7
[c13] PUT,9
[c62] PUT,7
[c89] PUT,6
[c41] PUT,11
[c29] PUT,12
[c11] PUT,13
[c27] PUT,16
[c26] PUT,17
[c99] PUT,12
[c78] PUT,13
[c52] PUT,16
[c3] PUT,19
[c72] PUT,16
[c61] PUT,18
[c69] PUT,20
[c79] PUT,19
[c93] PUT,18
[c60] PUT,22
[c65] PUT,22
[c23] PUT,25
[c81] PUT,21
[c12] PUT,26
[c45] PUT,25
[c47] PUT,26
[c22] PUT,27
[c54] PUT,27
[c90] PUT,24
[c66] PUT,27
[c39] PUT,29
[c17] PUT,30
[c97] PUT,25
[c92] PUT,25
[c7] PUT,31
[c4] PUT,32
[c73] PUT,29
[c63] PUT,30
[c84] PUT,30
[c44] PUT,33
[c40] PUT,33
[c74] PUT,31
[c49] PUT,33
[c87] PUT,30
[c64] PUT,32
[c80] PUT,32
[c14] PUT,36
[c56] PUT,35
[c82] PUT,33
[c32] PUT,37
[c1] PUT,37
[c21] PUT,38
[c55] PUT,36
[c94] PUT,33
[c9] PUT,38
[c85] PUT,34
[c75] PUT,35
[c31] PUT,39
[c8] PUT,40
[c48] PUT,38
[c86] PUT,38
[c28] PUT,42
[c35] PUT,44
[c18] PUT,45
[c98] PUT,41
[c91] PUT,41
[c51] PUT,44
[c24] PUT,46
[c16] PUT,47
[c25] PUT,47
[c58] PUT,48
[c15] PUT,50
[c76] PUT,46
[c83] PUT,46
[c46] PUT,50
[c100] PUT,46
[c57] PUT,49
[c67] PUT,50
[c50] PUT,51
[c37] PUT,52
[c20] PUT,55
[c36] PUT,55
[c77] PUT,53
[c2] PUT,60
[c96] PUT,57
[c42] PUT,61
[c5] PUT,64
[c88] PUT,60
[c68] PUT,63
[c30] PUT,69
[c38] PUT,69
[c70] PUT,68
[c34] PUT,73
[c19] PUT,76
[c43] PUT,79
[c95] PUT,76
[c33] PUT,85
[c53] PUT,115
