log,time
[c23] PUT,44
[c24] PUT,67
[c54] PUT,83
[c96] PUT,89
[c18] PUT,126
[c59] PUT,127
[c52] PUT,130
[c12] PUT,147
[c71] PUT,140
[c41] PUT,166
[c42] PUT,173
[c30] PUT,179
[c13] PUT,199
[c38] PUT,195
[c6] PUT,214
[c37] PUT,214
[c57] PUT,214
[c9] PUT,230
[c99] PUT,243
[c73] PUT,247
[c72] PUT,253
[c45] PUT,258
[c89] PUT,259
[c33] PUT,278
[c14] PUT,289
[c78] PUT,283
[c82] PUT,286
[c61] PUT,295
[c60] PUT,296
[c83] PUT,306
[c31] PUT,327
[c26] PUT,339
[c3] PUT,342
[c27] PUT,348
[c94] PUT,350
[c91] PUT,351
[c29] PUT,373
[c93] PUT,371
[c69] PUT,376
[c58] PUT,390
[c84] PUT,415
[c19] PUT,424
[c32] PUT,425
[c44] PUT,442
[c40] PUT,447
[c63] PUT,463
[c4] PUT,472
[c90] PUT,483
[c50] PUT,492
[c97] PUT,499
[c36] PUT,520
[c62] PUT,526
[c28] PUT,532
[c43] PUT,546
[c53] PUT,546
[c47] PUT,559
[c11] PUT,581
[c2] PUT,583
[c17] PUT,598
[c98] PUT,621
[c79] PUT,644
[c20] PUT,653
[c21] PUT,663
[c22] PUT,666
[c92] PUT,665
[c85] PUT,675
[c64] PUT,679
[c77] PUT,717
[c34] PUT,728
[c55] PUT,732
[c76] PUT,745
[c16] PUT,755
[c81] PUT,761
[c70] PUT,778
[c86] PUT,778
[c87] PUT,781
[c15] PUT,791
[c95] PUT,789
[c51] PUT,838
[c75] PUT,837
[c49] PUT,852
[c67] PUT,864
[c74] PUT,939
[c7] PUT,1010
[c48] PUT,1030
[c5] PUT,1043
[c35] PUT,1058
[c1] PUT,1061
[c56] PUT,1119
[c25] PUT,1139
[c100] PUT,1193
[c46] PUT,1226
[c66] PUT,1304
[c8] PUT,1345
[c65] PUT,1352
[c80] PUT,1440
[c88] PUT,1464
[c68] PUT,1490
