log,time
[c52] PUT,13
[c3] PUT,18
[c11] PUT,21
[c22] PUT,26
[c81] PUT,22
[c57] PUT,25
[c99] PUT,21
[c13] PUT,31
[c41] PUT,31
[c24] PUT,33
[c58] PUT,30
[c98] PUT,27
[c92] PUT,28
[c26] PUT,37
[c73] PUT,34
[c74] PUT,36
[c1] PUT,40
[c72] PUT,36
[c62] PUT,41
[c31] PUT,44
[c93] PUT,37
[c23] PUT,45
[c70] PUT,44
[c75] PUT,46
[c60] PUT,49
[c44] PUT,52
[c46] PUT,53
[c25] PUT,56
[c61] PUT,54
[c38] PUT,57
[c80] PUT,53
[c12] PUT,60
[c54] PUT,60
[c82] PUT,61
[c87] PUT,62
[c83] PUT,64
[c97] PUT,62
[c96] PUT,65
[c8] PUT,73
[c18] PUT,73
[c14] PUT,73
[c6] PUT,75
[c71] PUT,71
[c29] PUT,76
[c85] PUT,71
[c69] PUT,73
[c50] PUT,76
[c27] PUT,79
[c37] PUT,80
[c45] PUT,79
[c84] PUT,75
[c32] PUT,85
[c90] PUT,78
[c40] PUT,86
[c76] PUT,81
[c68] PUT,84
[c47] PUT,86
[c42] PUT,87
[c2] PUT,89
[c43] PUT,91
[c78] PUT,86
[c79] PUT,88
[c51] PUT,91
[c4] PUT,95
[c16] PUT,96
[c63] PUT,94
[c56] PUT,95
[c20] PUT,98
[c89] PUT,91
[c30] PUT,99
[c28] PUT,101
[c9] PUT,102
[c91] PUT,95
[c34] PUT,102
[c49] PUT,102
[c19] PUT,105
[c88] PUT,100
[c5] PUT,109
[c35] PUT,109
[c33] PUT,110
[c55] PUT,109
[c59] PUT,113
[c17] PUT,119
[c77] PUT,121
[c66] PUT,123
[c86] PUT,125
[c94] PUT,134
[c36] PUT,142
[c15] PUT,143
[c65] PUT,141
[c53] PUT,144
[c95] PUT,171
[c7] PUT,186
[c21] PUT,198
[c67] PUT,196
[c100] PUT,212

