log,time
[c62] PUT,6
[c12] PUT,10
[c58] PUT,9
[c83] PUT,7
[c41] PUT,10
[c96] PUT,7
[c78] PUT,9
[c54] PUT,10
[c99] PUT,8
[c73] PUT,11
[c26] PUT,15
[c29] PUT,15
[c59] PUT,14
[c27] PUT,16
[c92] PUT,13
[c23] PUT,17
[c24] PUT,17
[c15] PUT,18
[c17] PUT,20
[c32] PUT,20
[c82] PUT,16
[c22] PUT,21
[c1] PUT,21
[c3] PUT,23
[c97] PUT,19
[c48] PUT,22
[c71] PUT,22
[c63] PUT,22
[c81] PUT,21
[c91] PUT,22
[c80] PUT,22
[c98] PUT,21
[c13] PUT,27
[c14] PUT,27
[c52] PUT,26
[c57] PUT,27
[c40] PUT,28
[c55] PUT,27
[c86] PUT,26
[c45] PUT,29
[c36] PUT,31
[c35] PUT,31
[c95] PUT,27
[c93] PUT,28
[c79] PUT,30
[c18] PUT,35
[c38] PUT,34
[c8] PUT,35
[c64] PUT,34
[c49] PUT,35
[c47] PUT,35
[c25] PUT,37
[c4] PUT,38
[c21] PUT,38
[c19] PUT,38
[c69] PUT,36
[c90] PUT,36
[c11] PUT,41
[c50] PUT,39
[c16] PUT,42
[c31] PUT,42
[c88] PUT,39
[c9] PUT,43
[c76] PUT,40
[c33] PUT,44
[c72] PUT,41
[c44] PUT,44
[c6] PUT,45
[c68] PUT,42
[c46] PUT,45
[c70] PUT,46
[c7] PUT,49
[c5] PUT,50
[c34] PUT,50
[c65] PUT,48
[c53] PUT,50
[c20] PUT,56
[c61] PUT,54
[c43] PUT,55
[c2] PUT,56
[c56] PUT,55
[c94] PUT,53
[c37] PUT,59
[c51] PUT,59
[c100] PUT,57
[c75] PUT,61
[c42] PUT,63
[c67] PUT,62
[c39] PUT,65
[c66] PUT,64
[c30] PUT,69
[c60] PUT,67
[c74] PUT,67
[c77] PUT,70
[c89] PUT,70
[c28] PUT,74
[c85] PUT,76
[c84] PUT,83
[c87] PUT,106
