log,time
[c96] PUT,20
[c18] PUT,31
[c22] PUT,33
[c62] PUT,36
[c57] PUT,38
[c82] PUT,39
[c6] PUT,47
[c71] PUT,46
[c52] PUT,50
[c53] PUT,53
[c24] PUT,57
[c89] PUT,53
[c3] PUT,61
[c92] PUT,57
[c73] PUT,68
[c23] PUT,72
[c41] PUT,73
[c58] PUT,82
[c11] PUT,88
[c30] PUT,88
[c13] PUT,92
[c48] PUT,91
[c45] PUT,96
[c83] PUT,93
[c59] PUT,95
[c28] PUT,100
[c50] PUT,100
[c27] PUT,104
[c97] PUT,110
[c29] PUT,118
[c21] PUT,122
[c72] PUT,120
[c68] PUT,125
[c9] PUT,129
[c74] PUT,125
[c1] PUT,135
[c38] PUT,136
[c14] PUT,140
[c93] PUT,136
[c31] PUT,140
[c63] PUT,138
[c76] PUT,138
[c77] PUT,140
[c65] PUT,141
[c78] PUT,141
[c51] PUT,149
[c55] PUT,151
[c32] PUT,154
[c15] PUT,157
[c25] PUT,159
[c12] PUT,165
[c84] PUT,163
[c40] PUT,171
[c8] PUT,176
[c87] PUT,172
[c47] PUT,176
[c34] PUT,179
[c95] PUT,175
[c33] PUT,188
[c10] PUT,195
[c85] PUT,189
[c100] PUT,189
[c80] PUT,226
[c69] PUT,228
[c36] PUT,242
[c70] PUT,239
[c66] PUT,241
[c99] PUT,244
[c4] PUT,251
[c2] PUT,256
[c60] PUT,255
[c56] PUT,263
[c42] PUT,292
[c81] PUT,297
[c7] PUT,303
[c61] PUT,301
[c16] PUT,306
[c94] PUT,302
[c44] PUT,314
[c20] PUT,319
[c91] PUT,318
[c17] PUT,334
[c79] PUT,333
[c54] PUT,388
[c5] PUT,410
[c19] PUT,434
[c86] PUT,430
[c26] PUT,437
[c90] PUT,439
[c75] PUT,469
[c88] PUT,479
[c46] PUT,483
[c67] PUT,486
[c43] PUT,537
[c98] PUT,545
[c49] PUT,570
[c35] PUT,594
[c37] PUT,614

