log,time
[c13] PUT,57
[c24] PUT,79
[c83] PUT,80
[c20] PUT,91
[c58] PUT,103
[c78] PUT,103
[c10] PUT,107
[c18] PUT,108
[c60] PUT,108
[c26] PUT,115
[c11] PUT,119
[c96] PUT,119
[c38] PUT,123
[c54] PUT,129
[c3] PUT,135
[c100] PUT,146
[c55] PUT,157
[c45] PUT,164
[c40] PUT,165
[c97] PUT,176
[c23] PUT,186
[c91] PUT,185
[c84] PUT,188
[c14] PUT,198
[c31] PUT,198
[c59] PUT,205
[c29] PUT,208
[c82] PUT,210
[c62] PUT,218
[c9] PUT,227
[c57] PUT,227
[c61] PUT,231
[c30] PUT,234
[c35] PUT,237
[c72] PUT,245
[c73] PUT,251
[c37] PUT,265
[c94] PUT,265
[c52] PUT,271
[c69] PUT,280
[c27] PUT,284
[c6] PUT,294
[c43] PUT,297
[c36] PUT,325
[c15] PUT,350
[c65] PUT,351
[c99] PUT,354
[c63] PUT,360
[c12] PUT,363
[c53] PUT,381
[c44] PUT,393
[c90] PUT,397
[c89] PUT,411
[c93] PUT,422
[c42] PUT,427
[c41] PUT,434
[c51] PUT,435
[c4] PUT,456
[c22] PUT,462
[c32] PUT,489
[c33] PUT,491
[c47] PUT,491
[c68] PUT,495
[c28] PUT,501
[c92] PUT,505
[c5] PUT,512
[c39] PUT,519
[c2] PUT,521
[c67] PUT,524
[c71] PUT,547
[c95] PUT,559
[c80] PUT,601
[c98] PUT,626
[c56] PUT,670
[c25] PUT,689
[c85] PUT,691
[c17] PUT,695
[c16] PUT,714
[c76] PUT,729
[c70] PUT,734
[c86] PUT,750
[c21] PUT,754
[c8] PUT,756
[c7] PUT,762
[c75] PUT,781
[c34] PUT,792
[c74] PUT,806
[c66] PUT,809
[c87] PUT,841
[c49] PUT,865
[c1] PUT,872
[c88] PUT,876
[c50] PUT,901
[c46] PUT,908
[c81] PUT,1017
[c19] PUT,1022
[c79] PUT,1041
[c77] PUT,1048
