log,time
[c31] PUT,31
[c13] PUT,33
[c73] PUT,41
[c99] PUT,43
[c58] PUT,48
[c18] PUT,57
[c41] PUT,73
[c84] PUT,75
[c78] PUT,77
[c60] PUT,85
[c22] PUT,88
[c82] PUT,85
[c26] PUT,94
[c57] PUT,96
[c29] PUT,102
[c5] PUT,107
[c9] PUT,110
[c23] PUT,111
[c19] PUT,113
[c37] PUT,113
[c89] PUT,115
[c27] PUT,124
[c11] PUT,129
[c45] PUT,129
[c30] PUT,135
[c7] PUT,142
[c54] PUT,142
[c6] PUT,146
[c97] PUT,142
[c61] PUT,146
[c90] PUT,150
[c83] PUT,154
[c53] PUT,172
[c46] PUT,173
[c24] PUT,175
[c3] PUT,184
[c38] PUT,189
[c96] PUT,186
[c33] PUT,191
[c55] PUT,197
[c80] PUT,196
[c44] PUT,199
[c4] PUT,205
[c63] PUT,207
[c71] PUT,206
[c42] PUT,209
[c14] PUT,220
[c69] PUT,220
[c52] PUT,223
[c81] PUT,227
[c47] PUT,229
[c49] PUT,236
[c65] PUT,245
[c59] PUT,248
[c92] PUT,249
[c72] PUT,252
[c85] PUT,251
[c70] PUT,253
[c94] PUT,265
[c8] PUT,271
[c35] PUT,270
[c36] PUT,273
[c21] PUT,279
[c15] PUT,281
[c62] PUT,282
[c40] PUT,288
[c32] PUT,296
[c20] PUT,299
[c75] PUT,299
[c28] PUT,301
[c34] PUT,305
[c16] PUT,314
[c43] PUT,326
[c91] PUT,340
[c48] PUT,357
[c93] PUT,358
[c51] PUT,369
[c25] PUT,375
[c2] PUT,384
[c50] PUT,383
[c95] PUT,388
[c67] PUT,395
[c88] PUT,395
[c100] PUT,398
[c87] PUT,402
[c86] PUT,404
[c12] PUT,417
[c66] PUT,429
[c76] PUT,431
[c68] PUT,434
[c1] PUT,443
[c17] PUT,450
[c79] PUT,449
[c77] PUT,463
[c98] PUT,481
[c74] PUT,488
[c56] PUT,490
