log,time
[c97] PUT,8
[c59] PUT,15
[c73] PUT,14
[c23] PUT,19
[c41] PUT,21
[c89] PUT,17
[c99] PUT,21
[c45] PUT,26
[c52] PUT,25
[c62] PUT,25
[c12] PUT,28
[c6] PUT,29
[c27] PUT,30
[c13] PUT,30
[c31] PUT,31
[c90] PUT,26
[c30] PUT,33
[c29] PUT,34
[c96] PUT,31
[c54] PUT,35
[c83] PUT,33
[c24] PUT,38
[c78] PUT,36
[c3] PUT,41
[c57] PUT,40
[c60] PUT,41
[c26] PUT,44
[c71] PUT,40
[c53] PUT,45
[c43] PUT,46
[c22] PUT,49
[c25] PUT,50
[c33] PUT,50
[c93] PUT,46
[c18] PUT,51
[c56] PUT,51
[c4] PUT,54
[c38] PUT,53
[c95] PUT,52
[c44] PUT,57
[c50] PUT,57
[c32] PUT,59
[c55] PUT,58
[c37] PUT,60
[c58] PUT,61
[c72] PUT,60
[c40] PUT,64
[c9] PUT,65
[c68] PUT,64
[c20] PUT,68
[c94] PUT,63
[c92] PUT,64
[c63] PUT,67
[c84] PUT,66
[c69] PUT,68
[c80] PUT,68
[c28] PUT,74
[c36] PUT,74
[c15] PUT,76
[c14] PUT,77
[c77] PUT,73
[c81] PUT,73
[c91] PUT,75
[c2] PUT,80
[c61] PUT,78
[c7] PUT,81
[c35] PUT,82
[c82] PUT,82
[c21] PUT,87
[c85] PUT,82
[c70] PUT,84
[c87] PUT,83
[c49] PUT,86
[c100] PUT,83
[c39] PUT,89
[c42] PUT,90
[c17] PUT,92
[c1] PUT,93
[c11] PUT,94
[c65] PUT,92
[c47] PUT,94
[c74] PUT,93
[c98] PUT,95
[c5] PUT,101
[c19] PUT,102
[c51] PUT,105
[c34] PUT,111
[c79] PUT,110
[c76] PUT,111
[c16] PUT,116
[c86] PUT,113
[c66] PUT,116
[c46] PUT,121
[c67] PUT,119
[c8] PUT,124
[c75] PUT,127
[c88] PUT,127

