log,time
[c71] PUT,79
[c78] PUT,80
[c89] PUT,80
[c13] PUT,87
[c24] PUT,97
[c27] PUT,99
[c23] PUT,110
[c26] PUT,113
[c45] PUT,112
[c54] PUT,119
[c10] PUT,135
[c59] PUT,138
[c6] PUT,140
[c99] PUT,150
[c58] PUT,159
[c62] PUT,164
[c12] PUT,169
[c18] PUT,170
[c3] PUT,171
[c60] PUT,192
[c96] PUT,191
[c92] PUT,195
[c29] PUT,203
[c94] PUT,211
[c91] PUT,212
[c83] PUT,214
[c61] PUT,217
[c43] PUT,223
[c80] PUT,228
[c30] PUT,232
[c31] PUT,245
[c84] PUT,241
[c33] PUT,249
[c44] PUT,254
[c73] PUT,258
[c57] PUT,259
[c97] PUT,259
[c65] PUT,268
[c9] PUT,275
[c93] PUT,277
[c14] PUT,296
[c52] PUT,294
[c37] PUT,297
[c90] PUT,308
[c21] PUT,319
[c38] PUT,323
[c55] PUT,328
[c28] PUT,336
[c82] PUT,334
[c53] PUT,341
[c36] PUT,346
[c32] PUT,361
[c56] PUT,384
[c63] PUT,391
[c64] PUT,394
[c41] PUT,398
[c67] PUT,404
[c22] PUT,407
[c2] PUT,410
[c72] PUT,410
[c76] PUT,410
[c66] PUT,418
[c69] PUT,428
[c25] PUT,436
[c42] PUT,440
[c81] PUT,455
[c47] PUT,459
[c15] PUT,468
[c100] PUT,469
[c4] PUT,479
[c46] PUT,486
[c8] PUT,489
[c86] PUT,492
[c50] PUT,513
[c85] PUT,536
[c87] PUT,539
[c7] PUT,544
[c11] PUT,549
[c88] PUT,568
[c70] PUT,572
[c34] PUT,585
[c51] PUT,585
[c74] PUT,589
[c98] PUT,611
[c19] PUT,624
[c75] PUT,648
[c5] PUT,662
[c49] PUT,666
[c20] PUT,676
[c1] PUT,686
[c16] PUT,718
[c68] PUT,741
[c40] PUT,758
[c79] PUT,758
[c95] PUT,765
[c35] PUT,809
[c77] PUT,885
[c17] PUT,954
