log,time
[c26] PUT,34
[c72] PUT,35
[c73] PUT,41
[c12] PUT,48
[c29] PUT,50
[c31] PUT,53
[c59] PUT,54
[c5] PUT,58
[c82] PUT,59
[c15] PUT,67
[c89] PUT,72
[c23] PUT,78
[c62] PUT,77
[c21] PUT,81
[c20] PUT,83
[c75] PUT,83
[c57] PUT,84
[c11] PUT,92
[c99] PUT,87
[c44] PUT,93
[c28] PUT,100
[c2] PUT,105
[c19] PUT,106
[c6] PUT,106
[c34] PUT,110
[c96] PUT,108
[c45] PUT,112
[c92] PUT,117
[c52] PUT,119
[c4] PUT,126
[c71] PUT,123
[c41] PUT,125
[c83] PUT,122
[c78] PUT,130
[c49] PUT,135
[c61] PUT,140
[c74] PUT,147
[c87] PUT,148
[c1] PUT,155
[c50] PUT,158
[c98] PUT,157
[c48] PUT,162
[c90] PUT,166
[c84] PUT,168
[c69] PUT,176
[c37] PUT,179
[c85] PUT,178
[c64] PUT,190
[c79] PUT,190
[c76] PUT,191
[c13] PUT,195
[c24] PUT,196
[c93] PUT,192
[c51] PUT,198
[c46] PUT,203
[c42] PUT,204
[c30] PUT,207
[c40] PUT,210
[c3] PUT,214
[c97] PUT,221
[c81] PUT,221
[c54] PUT,226
[c100] PUT,223
[c17] PUT,231
[c63] PUT,233
[c38] PUT,236
[c25] PUT,239
[c95] PUT,241
[c32] PUT,247
[c35] PUT,247
[c70] PUT,244
[c58] PUT,248
[c53] PUT,250
[c43] PUT,253
[c36] PUT,267
[c10] PUT,270
[c67] PUT,268
[c56] PUT,270
[c65] PUT,275
[c18] PUT,300
[c88] PUT,312
[c22] PUT,327
[c94] PUT,324
[c86] PUT,329
[c77] PUT,333
[c9] PUT,338
[c7] PUT,346
[c55] PUT,344
[c27] PUT,352
[c14] PUT,366
[c33] PUT,381
[c60] PUT,420
[c91] PUT,465
[c66] PUT,479
[c68] PUT,532
[c16] PUT,559
[c8] PUT,582
[c80] PUT,653
[c47] PUT,716
