log,time
[c24] PUT,13
[c52] PUT,13
[c73] PUT,14
[c6] PUT,19
[c45] PUT,18
[c58] PUT,17
[c78] PUT,16
[c31] PUT,20
[c71] PUT,17
[c59] PUT,21
[c54] PUT,21
[c29] PUT,27
[c23] PUT,28
[c22] PUT,28
[c96] PUT,22
[c89] PUT,24
[c72] PUT,27
[c57] PUT,29
[c3] PUT,32
[c92] PUT,28
[c44] PUT,32
[c11] PUT,35
[c97] PUT,28
[c99] PUT,29
[c14] PUT,37
[c90] PUT,31
[c13] PUT,39
[c18] PUT,40
[c84] PUT,36
[c83] PUT,36
[c21] PUT,42
[c37] PUT,40
[c26] PUT,43
[c81] PUT,40
[c55] PUT,42
[c17] PUT,45
[c63] PUT,43
[c27] PUT,47
[c12] PUT,48
[c53] PUT,46
[c41] PUT,48
[c38] PUT,48
[c28] PUT,50
[c36] PUT,50
[c60] PUT,50
[c9] PUT,54
[c33] PUT,56
[c94] PUT,52
[c67] PUT,55
[c69] PUT,55
[c82] PUT,54
[c61] PUT,56
[c74] PUT,55
[c30] PUT,62
[c32] PUT,62
[c5] PUT,65
[c20] PUT,65
[c4] PUT,65
[c51] PUT,62
[c80] PUT,60
[c10] PUT,67
[c47] PUT,67
[c43] PUT,70
[c2] PUT,74
[c93] PUT,69
[c35] PUT,76
[c49] PUT,77
[c75] PUT,75
[c98] PUT,75
[c77] PUT,78
[c15] PUT,84
[c76] PUT,81
[c62] PUT,83
[c50] PUT,85
[c86] PUT,88
[c8] PUT,95
[c7] PUT,95
[c100] PUT,89
[c1] PUT,101
[c79] PUT,95
[c56] PUT,100
[c34] PUT,103
[c70] PUT,101
[c91] PUT,101
[c48] PUT,105
[c85] PUT,101
[c68] PUT,104
[c16] PUT,109
[c66] PUT,105
[c46] PUT,108
[c65] PUT,107
[c25] PUT,115
[c87] PUT,111
[c95] PUT,112
[c42] PUT,118
[c19] PUT,122
[c40] PUT,120
[c88] PUT,119
