log,time
[c59] PUT,16
[c71] PUT,21
[c57] PUT,24
[c41] PUT,31
[c26] PUT,32
[c3] PUT,34
[c54] PUT,32
[c29] PUT,35
[c83] PUT,30
[c18] PUT,36
[c24] PUT,37
[c99] PUT,30
[c6] PUT,40
[c58] PUT,37
[c91] PUT,35
[c96] PUT,35
[c92] PUT,35
[c52] PUT,40
[c21] PUT,45
[c31] PUT,49
[c89] PUT,43
[c78] PUT,45
[c20] PUT,51
[c10] PUT,51
[c35] PUT,52
[c82] PUT,46
[c36] PUT,52
[c33] PUT,52
[c95] PUT,46
[c84] PUT,54
[c11] PUT,61
[c9] PUT,65
[c27] PUT,65
[c65] PUT,62
[c100] PUT,60
[c77] PUT,62
[c47] PUT,70
[c61] PUT,68
[c38] PUT,71
[c45] PUT,71
[c97] PUT,67
[c14] PUT,74
[c13] PUT,75
[c60] PUT,74
[c23] PUT,81
[c72] PUT,77
[c94] PUT,75
[c93] PUT,76
[c2] PUT,85
[c74] PUT,79
[c81] PUT,82
[c51] PUT,86
[c56] PUT,86
[c85] PUT,88
[c73] PUT,89
[c55] PUT,99
[c69] PUT,98
[c4] PUT,106
[c32] PUT,107
[c30] PUT,107
[c68] PUT,102
[c44] PUT,107
[c43] PUT,108
[c5] PUT,110
[c25] PUT,111
[c34] PUT,121
[c12] PUT,121
[c80] PUT,115
[c62] PUT,118
[c46] PUT,128
[c90] PUT,129
[c22] PUT,139
[c66] PUT,136
[c63] PUT,138
[c50] PUT,141
[c88] PUT,138
[c37] PUT,149
[c28] PUT,152
[c75] PUT,146
[c53] PUT,150
[c8] PUT,153
[c15] PUT,159
[c19] PUT,159
[c79] PUT,160
[c86] PUT,166
[c87] PUT,168
[c17] PUT,176
[c40] PUT,176
[c98] PUT,170
[c16] PUT,180
[c7] PUT,189
[c42] PUT,198
[c76] PUT,208
[c67] PUT,210
[c49] PUT,216
[c70] PUT,221
[c1] PUT,245

