log,time
[c26] PUT,14
[c35] PUT,16
[c83] PUT,15
[c58] PUT,20
[c29] PUT,25
[c72] PUT,22
[c89] PUT,22
[c82] PUT,23
[c96] PUT,23
[c24] PUT,29
[c3] PUT,32
[c73] PUT,30
[c54] PUT,33
[c2] PUT,37
[c78] PUT,35
[c41] PUT,40
[c15] PUT,42
[c10] PUT,42
[c11] PUT,43
[c63] PUT,39
[c32] PUT,42
[c18] PUT,44
[c17] PUT,45
[c81] PUT,40
[c5] PUT,45
[c77] PUT,41
[c25] PUT,46
[c93] PUT,41
[c62] PUT,44
[c60] PUT,44
[c52] PUT,46
[c50] PUT,47
[c39] PUT,50
[c42] PUT,51
[c23] PUT,52
[c34] PUT,53
[c8] PUT,53
[c56] PUT,52
[c75] PUT,51
[c94] PUT,50
[c87] PUT,51
[c44] PUT,55
[c31] PUT,57
[c70] PUT,53
[c4] PUT,59
[c46] PUT,57
[c12] PUT,59
[c27] PUT,59
[c55] PUT,58
[c22] PUT,62
[c45] PUT,60
[c13] PUT,63
[c6] PUT,65
[c64] PUT,62
[c30] PUT,66
[c59] PUT,63
[c92] PUT,63
[c71] PUT,65
[c68] PUT,65
[c20] PUT,74
[c38] PUT,77
[c28] PUT,77
[c1] PUT,82
[c43] PUT,82
[c99] PUT,78
[c40] PUT,83
[c16] PUT,84
[c9] PUT,86
[c67] PUT,82
[c65] PUT,84
[c95] PUT,86
[c61] PUT,89
[c14] PUT,93
[c66] PUT,90
[c98] PUT,100
[c88] PUT,103
[c53] PUT,105
[c33] PUT,111
[c51] PUT,109
[c69] PUT,112
[c85] PUT,116
[c37] PUT,122
[c57] PUT,121
[c84] PUT,120
[c90] PUT,120
[c21] PUT,129
[c97] PUT,128
[c91] PUT,129
[c79] PUT,134
[c7] PUT,143
[c19] PUT,143
[c47] PUT,143
[c49] PUT,151
[c80] PUT,152
[c36] PUT,161
[c76] PUT,174
[c100] PUT,186
[c86] PUT,188
[c74] PUT,190
