[c22] PUT,95
[c73] PUT,92
[c96] PUT,95
[c58] PUT,147
[c59] PUT,151
[c41] PUT,163
[c54] PUT,176
[c97] PUT,181
[c45] PUT,185
[c62] PUT,189
[c26] PUT,236
[c78] PUT,253
[c57] PUT,272
[c89] PUT,282
[c27] PUT,297
[c3] PUT,306
[c8] PUT,313
[c72] PUT,344
[c6] PUT,368
[c44] PUT,380
[c18] PUT,387
[c11] PUT,390
[c47] PUT,400
[c71] PUT,412
[c52] PUT,439
[c99] PUT,442
[c4] PUT,460
[c95] PUT,526
[c29] PUT,560
[c92] PUT,572
[c37] PUT,595
[c24] PUT,608
[c94] PUT,621
[c20] PUT,639
[c10] PUT,650
[c14] PUT,654
[c83] PUT,666
[c64] PUT,671
[c90] PUT,686
[c13] PUT,705
[c23] PUT,730
[c55] PUT,740
[c77] PUT,749
[c82] PUT,758
[c15] PUT,771
[c43] PUT,772
[c60] PUT,786
[c84] PUT,795
[c30] PUT,833
[c31] PUT,846
[c9] PUT,858
[c76] PUT,857
[c33] PUT,891
[c36] PUT,904
[c21] PUT,911
[c50] PUT,920
[c53] PUT,927
[c38] PUT,938
[c63] PUT,1008
[c93] PUT,1027
[c81] PUT,1063
[c12] PUT,1075
[c46] PUT,1111
[c69] PUT,1165
[c32] PUT,1178
[c87] PUT,1177
[c51] PUT,1219
[c91] PUT,1243
[c2] PUT,1322
[c70] PUT,1332
[c17] PUT,1375
[c42] PUT,1382
[c34] PUT,1418
[c80] PUT,1512
[c75] PUT,1515
[c85] PUT,1517
[c16] PUT,1574
[c5] PUT,1589
[c61] PUT,1671
[c66] PUT,1695
[c40] PUT,1700
[c7] PUT,1709
[c67] PUT,1795
[c49] PUT,1833
[c98] PUT,1965
[c100] PUT,1976
[c25] PUT,2053
[c35] PUT,2076
[c79] PUT,2131
[c74] PUT,2171
[c68] PUT,2215
[c86] PUT,2255
[c28] PUT,2308
[c48] PUT,2410
[c1] PUT,2477
[c88] PUT,2644
[c65] PUT,2667
[c56] PUT,2782
[c19] PUT,2819
